ticker,year,chunk_id,category,word_count,zero_shot_summary,zero_shot_bertscore_precision,zero_shot_bertscore_recall,zero_shot_bertscore_f1,zero_shot_flagged,few_shot_summary,few_shot_bertscore_precision,few_shot_bertscore_recall,few_shot_bertscore_f1,few_shot_flagged,source_flesch,zero_shot_flesch,few_shot_flesch
AAPL,2018,AAPL_2018_chunk_00,Risk Factors,471,"The company operates in very competitive global markets where it faces pressure from rivals who often lower prices and quickly introduce new products. To stay competitive, the company needs to invest heavily in research and development to create innovative products, but there's no guarantee these investments will pay off, especially since competitors may copy its ideas or offer cheaper alternatives.",0.8926,0.8147,0.8519,False,"The company operates in highly competitive global markets where rivals often engage in aggressive price-cutting, which can hurt profit margins. To stay relevant, the company must continually invest in research and development to create innovative products, but there's no guarantee these investments will pay off, especially as competitors may copy its features or offer cheaper alternatives.",0.8952,0.8134,0.8524,False,5.96,15.65,13.75
AAPL,2018,AAPL_2018_chunk_01,Risk Factors,166,"The company operates in a fast-changing and competitive market, which means it needs to constantly create and improve its products and services to attract customers. However, there are many uncertainties involved in launching new offerings, such as whether they will be developed on time, accepted by the market, and produced without issues, making it hard to predict how successful these new products will be.",0.8871,0.8504,0.8684,False,"The company faces challenges in staying competitive, as it needs to constantly develop and launch new products and services. Success depends on various factors, including timely development, market acceptance, managing production and inventory effectively, and ensuring quality, making it hard to predict how well new offerings will perform.",0.908,0.8547,0.8805,False,-19.04,32.91,11.51
AAPL,2018,AAPL_2018_chunk_02,Risk Factors,143,"The company relies on mobile carriers to offer financing and discounts for iPhone purchases, but there's no guarantee these offers will continue in the future. Additionally, the company is investing in programs to boost sales through resellers, but these efforts may not pay off, and if resellers face financial issues or lose interest in selling the company's products, it could hurt sales.",0.9,0.8622,0.8807,False,"The company relies on cellular carriers for financing and support to sell iPhones, but there's no guarantee these deals will continue or be as favorable in the future. Additionally, the company is investing heavily in programs to boost sales through resellers, but these efforts may not pay off, and if resellers face financial issues or lose interest in selling the products, it could hurt the company's sales.",0.8934,0.8583,0.8755,False,21.03,36.19,35.2
AAPL,2018,AAPL_2018_chunk_03,Risk Factors,231,"The company may have to write down the value of its inventory and assets if they become outdated or if their costs exceed what they can sell for. Since the tech market is fast-changing and unpredictable, there's a risk that the company could misjudge how much inventory to produce or order, leading to potential financial losses.",0.8845,0.8332,0.8581,False,"The company may face financial losses if it overestimates demand for its products, leading to excess inventory that becomes outdated or unsellable. Additionally, unpredictable market conditions and rapid changes in technology could result in costly write-downs or fees if the company misjudges its production needs.",0.8797,0.8224,0.8501,False,12.13,46.98,14.8
AAPL,2018,AAPL_2018_chunk_04,Risk Factors,355,"The Company relies on a limited number of suppliers for key components, which puts it at risk of supply shortages and price increases that could hurt its financial performance. If these suppliers face issues, like financial troubles or industry changes, it could become difficult for the Company to get the parts it needs, especially for new products that require specialized components.",0.8938,0.8282,0.8597,False,"The company relies on a limited number of suppliers for key components, which makes it vulnerable to supply shortages and price increases. If these suppliers face financial issues or if there are industry-wide shortages, it could hurt the company's ability to produce products and negatively impact its financial performance.",0.9024,0.8263,0.8627,False,2.27,33.03,23.13
AAPL,2018,AAPL_2018_chunk_05,Risk Factors,332,"The company relies heavily on a few outsourcing partners in Asia for most of its manufacturing and logistics, which can save money but also means it has less control over product quality and supply. If these partners face issues, like financial troubles or disruptions, it could lead to problems with product availability and potential costs related to defects or warranty claims.",0.8959,0.83,0.8617,False,"The company relies heavily on a few outsourcing partners in Asia for manufacturing and logistics, which can save costs but also means less control over product quality and supply. If these partners face issues like financial troubles or disruptions, it could lead to delays, increased costs, and potential product defects, impacting the company's operations and reputation.",0.8956,0.8259,0.8593,False,16.43,30.25,25.83
AAPL,2018,AAPL_2018_chunk_06,Risk Factors,264,"The Company makes complex hardware and software that can sometimes have defects, which might lead to safety issues or performance problems. If these issues aren't fixed, they could harm the Company's reputation, lead to legal claims, and ultimately result in lost sales and revenue.",0.9117,0.8424,0.8757,False,"The company’s complex hardware and software products may have design or manufacturing defects, which could lead to safety issues, service outages, and customer dissatisfaction. If these problems occur, they could harm the company's reputation, result in costly legal claims, and ultimately reduce sales and profits.",0.9071,0.8475,0.8763,False,19.04,49.91,27.96
AAPL,2018,AAPL_2018_chunk_07,Risk Factors,289,"The Company relies on short-term contracts with various third parties to provide digital content like music and movies, but there's no guarantee these contracts will be renewed or that the terms will remain favorable. If content providers decide to limit access or raise costs, or if new regulations require changes to how the Company manages digital rights, it could hurt the Company's ability to offer a wide range of content at reasonable prices, impacting its financial performance.",0.9088,0.8624,0.885,False,"The company relies on short-term contracts with third parties to offer music, movies, and other digital content, which could be at risk if these partners decide to raise prices, limit access, or offer competing services. If the company can't secure or afford the rights to this content, or if it faces new technology requirements, it could struggle to provide a diverse range of offerings, impacting its financial health.",0.9007,0.8491,0.8741,False,26.19,20.53,34.23
AAPL,2018,AAPL_2018_chunk_08,Risk Factors,319,"The company relies on third-party developers to create and maintain software for its hardware products, and if these developers choose to focus on competitors with larger market shares, it could lead to fewer available applications for the company's devices. This could result in lower customer interest in buying the company's products and reduced sales revenue from its app distribution platforms.",0.9015,0.843,0.8713,False,"The company's success relies on third-party software developers continuing to create and maintain applications for its products. If developers focus on competitors with larger market shares or fail to keep up with rapid technological changes, it could lead to fewer available apps, lower customer satisfaction, and reduced sales and profits for the company.",0.896,0.8412,0.8677,False,14.54,22.7,18.72
AAPL,2018,AAPL_2018_chunk_09,Risk Factors,502,"The company relies on licenses for third-party technology in its products, and while it usually expects to obtain these licenses at reasonable terms, there's no guarantee it will succeed. If it can't secure these licenses or faces legal challenges over intellectual property rights, it could hurt the company's ability to sell products and negatively impact its financial health. Additionally, ongoing and future lawsuits could be costly and disruptive, even if the company believes it has a strong defense.",0.8917,0.8212,0.855,False,"The company relies on licenses for third-party technology to sell its products, and if it can't secure these licenses or faces legal challenges over intellectual property, it could hurt its ability to operate and make money. Ongoing and potential lawsuits related to patent infringement could also be costly and disruptive, impacting the company's financial health and management focus.",0.8812,0.8113,0.8448,True,20.01,24.26,14.03
